DEALER #,DEALERSHIP,ADDRESS,CITY,STATE,ZIP,MILES,TRAVEL TIME,ROUND TRIP,PHONE,FAX,MAIN CONTACT,CELL,Preffer Call or Text
208411,HERB CHAMBERS WESTBOROUGH,350 Turnpike Rd,Westborough,MA,01581,50,0:58,1:56,774-760-0500,774-760-0590,MIKE,508-353-0333,Call or Text
207659,HERB CHAMBERS BOSTON,720 Morrissey Blvd,Boston,MA,02122,47,1:01,2:02,617-731-0100,617-232-8187,ALFREDO,781-526-3575,Call or Text
207753,HERB CHAMBERS BURLINGTON,33 Cambridge St,Burlington,MA,01803,57,1:03,2:06,781-273-5000,781-273-0069,TJ,978-621-9772,Call or Text
206817,BEDARD BROTHERS,391 South State Rd,Cheshire,MA,01225,147,2:50,5:40,413-743-0014,413-743-0423,,,
206874,BRANDFON,515 West Main St,Branford,CT,06405,101,1:49,3:38,203-481-1616,203-481-1717,BOB,860-508-8766,Text
207844,CARDINAL,531 Route 12,Groton,CT,06340,58,1:04,2:08,860-449-0411,860-445-5289,,,
207618,COURTNEY,767 Bridgeport Ave,Milford,CT,06460,116,2:04,4:08,203-877-2888,203-874-6714,,,
208185,CURRY,767 Memorial Dr,Chicopee,MA,01020,87,1:34,3:08,413-593-6727,413-593-0230,,,
206792,CURTISS RYAN,333 Bridgeport Ave,Shelton,CT,06484,122,2:14,4:28,203-929-1484,203-926-1219,NORM ext220,,
208186,DOVER,5 Dover Point Rd,Dover,NH,03820,113,2:05,4:10,603-742-1676,603-742-1247,,,
206879,EXECUTIVE,1194 North Colony Rd,Wallingford,CT,06492,116,1:57,3:54,203-949-7400,203-949-7410,,,
206958,GRAPPONE,507 State Route 3A,Bow,NH,03304,108,2:03,4:06,603-225-3371,603-224-1443,,,
207195,HOFFMAN,40 Albany Turnpike,West Simsbury,CT,06092,102,2:08,4:16,860-651-3501,860-658-3315,,,
207477,LIA OF ENFIELD,20 Palomba Drive,Enfield,CT,06082,99,1:50,3:40,860-741-3401,860-253-5418,,,
208356,LIA OF NORTH HAMPTON,293 King St,Northhampton,MA,01060,103,1:55,3:50,413-586-8626,413-586-1195,,,
207664,LIBERTY,71 West Service Rd,Hartford,CT,06120,92,1:49,3:38,860-251-6851,860-251-6858,,,
207222,PETERS,300 Amherst St,Nashua,NH,03063,83,1:37,3:14,603-886-9300,603-886-9344,,,
208611,SULLIVAN,45 Migeon Ave,Torrington,CT,06790,147,2:23,4:46,860-496-0077,860-496-8096,,,
207637,THE HONDA STORE,300 Lunenburg St,Fitchburg,MA,01420,71,1:16,2:32,978-345-1800,978-345-8580,,,
207268,WATERTOWN,816 Straits Turnpike,Watertown,CT,06795,131,2:14,4:28,860-945-3611,860-945-5323,,,
207444,WESTBROOK,One Flat Rock Place,Westbrook,CT,06498,79,1:18,2:36,860-399-7961,860-399-9248,,,
208423,WESTPORT,1372 Post Road East,Westport,CT,06880,131,2:21,4:42,203-254-1111,203-256-8785,,,
207916,HONDA OF KEENE,567 Monadnock Hwy,East Swanzey,NH,03446,106,1:57,3:54,603-357-1896,603-357-7553,,,
0,NEW ENGLAND ZONE OFFICE,555 Old County Road,Windsor Locks,CT,06096,N/A,N/A,N/A,860-627-5911,860-627-1844,,,
